year,zone_id,province_id,province_name,region,zone_number,party_name,votes,vote_pct,rank,total_votes
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ครูไทยเพื่อประชาชน,24,0.03,24,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ประชานิยม,23,0.03,25,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ประชาธรรมไทย,21,0.03,26,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ภาคีเครือข่ายไทย,20,0.02,27,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,มติประชา,18,0.02,28,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,พลังศรัทธา,15,0.02,29,81257
2562,pv_10_z_1,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,1,ชาติพัฒนา,0,0.00,30,81257
2562,pv_10_z_2,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,2,พลังประชารัฐ,26909,31.04,1,86701
2562,pv_10_z_2,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,2,อนาคตใหม่,26636,30.72,2,86701
2562,pv_10_z_2,pv_10,กรุงเทพมหานคร,กรุงเทพมหานคร,2,ประชาธิปัตย์,16269,18.76,3,86701
